model,regime,n_items_complete,n_runs,mean_item_std,mean_item_range,pct_items_identical,icc_2_1,mean_pairwise_qwk,mean_pairwise_pearson
qwen25vl,lora,291,5,0.32241224368883586,0.6829896907216495,0.41924398625429554,0.7895704102140617,0.7886775706927815,0.7899955403308039
internvl3,lora,291,5,0.2489803152031729,0.5249140893470791,0.49828178694158076,0.8744736360622974,0.8741036205472013,0.8749517586242691
pixtral,lora,291,5,0.2945839261187609,0.6297250859106529,0.3642611683848797,0.862142674834099,0.8616884818168493,0.8620685685853955
donut,lora,9,5,0.7031658068523562,1.5555555555555556,0.0,0.17738791423001948,0.10849467781172595,0.12600281748285974
