comparison,rater_a,rater_b,n,qwk,linear_kappa,cohen_kappa,mae,rmse,exact_agreement,adjacent_agreement,bias,pearson,spearman,qwk_ci_lo,qwk_ci_hi
gold vs rater2,gold,rater2,291,0.5641260624076145,0.46719105320399446,0.23892487828431186,0.687285223203836,1.0610731777598927,0.32989690721649484,0.8487972508591065,-0.2542955328099097,0.5792452121072361,0.6187425265866189,0.4619022760592357,0.664695999303049
gold vs rater3,gold,rater3,291,0.49677219978308496,0.36012394830893446,0.1117191689468836,0.7457731957124271,1.0343671802872263,0.23711340206185566,0.8350515463917526,0.1497594500079597,0.5189128486959144,0.5542893705766214,0.40471354317347125,0.5844082649831055
rater2 vs rater3,rater2,rater3,291,0.5916088631735779,0.4185219658040362,0.1067647869033096,0.6883848797250859,0.9368742356012002,0.1958762886597938,0.8556701030927835,0.4040549828178694,0.6546298211335159,0.6747548923387731,0.5053579951061977,0.6689967006285031
